iso,adm1,umd_tree_cover_loss__year,tree_loss_state,co2_state
BRA,1,2001,67309.77199,43237141.63
BRA,2,2001,7475.453874,1941297.693
BRA,3,2001,13926.98469,9047856.05
BRA,4,2001,81439.17301,50990897.52
BRA,5,2001,145822.4644,37230636.41
BRA,6,2001,13521.66444,2571924.736
BRA,7,2001,251.6442695,64221.90311
BRA,8,2001,22842.48782,8836333.397
BRA,9,2001,73928.81873,18732636.13
BRA,10,2001,84245.8805,28981559.36
BRA,11,2001,118977.0725,29996902.22
BRA,12,2001,668329.3257,288319824.4
BRA,13,2001,157590.4146,42258254.53
BRA,14,2001,649120.224,350319547
BRA,15,2001,13229.92433,3671370.925
BRA,16,2001,49505.3648,13697549.02
BRA,17,2001,12884.24772,3014129.095
BRA,18,2001,24323.17909,5045451.32
BRA,19,2001,4170.935493,1362627.248
BRA,20,2001,9347.755677,2107564.408
BRA,21,2001,25897.369,6808457.071
BRA,22,2001,268969.0028,151511645.7
BRA,23,2001,56620.15669,29817041.87
BRA,24,2001,35072.83909,9887935.572
BRA,25,2001,56288.32515,19492819.29
BRA,26,2001,9652.706528,2308385.026
BRA,27,2001,75618.36983,19888059.38
BRA,1,2002,68439.01864,48986316.92
BRA,2,2002,4618.538816,1552092.483
BRA,3,2002,13905.37718,8835800.723
BRA,4,2002,99140.45758,63678073.83
BRA,5,2002,120268.488,33526190.59
BRA,6,2002,18320.91337,4024608.449
BRA,7,2002,70.94968162,19495.36613
BRA,8,2002,24873.89252,11707892.26
BRA,9,2002,88135.05418,23480834.83
BRA,10,2002,170127.6929,61949287.26
BRA,11,2002,154724.7978,41494111.8
BRA,12,2002,1065530.117,494490408.1
BRA,13,2002,133571.9849,38578067.93
BRA,14,2002,781282.9177,427702507.6
BRA,15,2002,7997.913926,2328828.623
BRA,16,2002,62683.35316,18171360.51
BRA,17,2002,11336.66505,3189742.995
BRA,18,2002,38516.28572,7412019.222
BRA,19,2002,3284.449837,1088775.077
BRA,20,2002,5351.57982,1413323.802
BRA,21,2002,21877.06711,6178790.28
BRA,22,2002,411428.1225,238215528.4
BRA,23,2002,32971.36129,18692996.17
BRA,24,2002,41043.28612,12227081.1
BRA,25,2002,49717.17793,19262813.16
BRA,26,2002,8583.525026,2345452.637
BRA,27,2002,69248.45309,18376484.12
BRA,1,2003,37665.7936,26082167.33
BRA,2,2003,7106.333809,1981311.601
BRA,3,2003,9796.097241,6333997.199
BRA,4,2003,102013.1572,70997078.29
BRA,5,2003,163576.9694,40895581.83
BRA,6,2003,11455.7067,2462243.634
BRA,7,2003,247.795414,59295.48109
BRA,8,2003,21073.56734,9234140.017
BRA,9,2003,84577.55699,23593881.81
BRA,10,2003,96298.78655,35889441.08
BRA,11,2003,112436.7397,32284024.62
BRA,12,2003,1135363.547,528068746.5
BRA,13,2003,162230.757,46742723.28
BRA,14,2003,627530.5401,347161440
BRA,15,2003,2915.839161,710642.4035
BRA,16,2003,55539.4064,16447275.71
BRA,17,2003,10606.43958,2544724.247
BRA,18,2003,33520.66647,6499280.5
BRA,19,2003,2995.655898,1068887.399
BRA,20,2003,3465.562028,762159.6306
BRA,21,2003,29406.22826,8565006.539
BRA,22,2003,323675.9574,188977542.6
BRA,23,2003,44935.82609,25254053.52
BRA,24,2003,44209.62787,13950315.34
BRA,25,2003,37290.0782,15718218.89
BRA,26,2003,11066.28699,2959377.35
BRA,27,2003,77525.81246,22044224.83
BRA,1,2004,67190.46413,48123664.27
BRA,2,2004,1526.121665,392789.7416
BRA,3,2004,16619.12944,9921750.294
BRA,4,2004,94389.26418,64882209.83
BRA,5,2004,152279.3017,46597083
BRA,6,2004,15200.48529,3153872.764
BRA,7,2004,62.82516949,18262.56237
BRA,8,2004,13599.83258,7272689.764
BRA,9,2004,85881.11369,24546143.14
BRA,10,2004,197213.585,65344239.82
BRA,11,2004,135766.4433,40538830.18
BRA,12,2004,1274079.982,630568934.1
BRA,13,2004,126417.6998,41199794.81
BRA,14,2004,974698.0727,581066611.5
BRA,15,2004,4445.189185,1216951.465
BRA,16,2004,61004.17687,19552401.63
BRA,17,2004,6470.762721,1429955.794
BRA,18,2004,47384.92032,10001566.56
BRA,19,2004,2150.232701,791008.3458
BRA,20,2004,6245.266587,1280211.183
BRA,21,2004,30359.34758,9157480.651
BRA,22,2004,323102.6414,194429090.1
BRA,23,2004,25926.09892,14793503.37
BRA,24,2004,40746.40498,13761070.28
BRA,25,2004,47105.66503,21235207.82
BRA,26,2004,3840.74182,1086506.809
BRA,27,2004,95065.02078,26650630.78
BRA,1,2005,169859.9489,117949735.1
BRA,2,2005,5783.800413,1925192.037
BRA,3,2005,14145.03542,8523219.979
BRA,4,2005,174667.0621,119399767.6
BRA,5,2005,145692.7817,43642432.55
BRA,6,2005,6636.647153,1392653.02
BRA,7,2005,226.0553217,62658.46497
BRA,8,2005,16216.14825,8673119.4
BRA,9,2005,69966.40639,21161275.93
BRA,10,2005,168330.5686,66896792.03
BRA,11,2005,86858.16701,28873463.16
BRA,12,2005,773883.6131,409318999.4
BRA,13,2005,139291.9238,50266608.77
BRA,14,2005,941715.4377,547369999.9
BRA,15,2005,8266.021865,2359491.405
BRA,16,2005,68058.22353,23476445
BRA,17,2005,12155.68603,3437193.645
BRA,18,2005,33827.93458,7298372.455
BRA,19,2005,2464.527788,923055.7911
BRA,20,2005,10755.08677,2473724.108
BRA,21,2005,30099.30677,10338699.12
BRA,22,2005,397698.2913,250421831.3
BRA,23,2005,20537.38403,12734056.76
BRA,24,2005,47803.28519,17679625.92
BRA,25,2005,47518.60065,22711413.58
BRA,26,2005,9858.80994,2827359.741
BRA,27,2005,84245.9512,26704276.04
BRA,1,2006,40138.27018,29170835.55
BRA,2,2006,7887.440155,2646765.485
BRA,3,2006,13021.61726,7622370.392
BRA,4,2006,154847.8263,107637758.5
BRA,5,2006,177051.8549,54726048.32
BRA,6,2006,13507.83134,3039422.022
BRA,7,2006,59.14775875,17382.38534
BRA,8,2006,13347.4354,6954277.256
BRA,9,2006,56121.17745,17395585.57
BRA,10,2006,184183.0856,75038767.21
BRA,11,2006,77820.93552,26312589
BRA,12,2006,551307.9187,284510180.5
BRA,13,2006,162294.8201,62252343.7
BRA,14,2006,770914.5474,463371900.8
BRA,15,2006,5982.993088,1671769.206
BRA,16,2006,59053.15793,21748239.63
BRA,17,2006,9770.96764,2905267.719
BRA,18,2006,30552.22016,6619589.968
BRA,19,2006,2614.364449,1012651.683
BRA,20,2006,9645.013791,2364651.087
