iso,year,tree_loss_ha,gfw_gross_emissions_co2e_all_gases__Mg
AFG,2001,88.09271247,23242.62227
AGO,2001,101220.6215,37420940.63
AIA,2001,3.878460708,649.5610848
ALA,2001,396.9348257,74295.70401
ALB,2001,3729.021031,1367093.038
AND,2001,1.654212948,572.1865334
ARG,2001,147805.9504,32292046.2
ARM,2001,131.8406123,39946.27337
ATG,2001,24.07418944,7175.055823
AUS,2001,218816.3021,28262425.25
AUT,2001,6926.269008,2790463.533
AZE,2001,553.2993561,153394.2026
BDI,2001,1417.246957,484518.6501
BEL,2001,971.4881953,418959.9074
BEN,2001,3749.331105,1121841.003
BES,2001,3.031857253,267.0071312
BFA,2001,59.47710511,253222.1312
BGD,2001,4586.997203,2305908.883
BGR,2001,8202.319112,2116559.28
BHS,2001,432.9994197,87769.50432
BIH,2001,1496.107105,500282.3231
BLR,2001,18358.96428,4984365.948
BLZ,2001,8211.629493,3602474.21
BMU,2001,0.195819794,62.84709498
BOL,2001,140321.2605,63046051.57
BRA,2001,2746361.557,1181142069
BRB,2001,12.36746156,3382.274963
BRN,2001,1244.453823,819573.8241
BTN,2001,297.6596315,165526.0785
BWA,2001,130.9838815,24882.39906
CAF,2001,31282.43685,14185393.01
CAN,2001,1358154.799,419119124.4
CHE,2001,1165.213247,563852.9286
CHL,2001,72711.30281,21025873.65
CHN,2001,230289.1153,88121035.01
CIV,2001,122711.4502,46884883.16
CMR,2001,39203.71718,19436576.65
COD,2001,455516.739,254170270.8
COG,2001,27030.69622,13988375.29
COL,2001,230054.8357,112439474.1
COM,2001,36.97369321,17632.83697
CPV,2001,7.136450794,0
CRI,2001,15461.87945,6955679.039
CUB,2001,18942.90878,5341951.913
CUW,2001,0.902788526,176.3343497
CYM,2001,20.6816122,3980.792681
CYP,2001,78.62890207,21033.32558
CZE,2001,3460.142586,1317833.593
DEU,2001,15286.38057,6148611.702
DMA,2001,22.79275551,12965.51026
DNK,2001,4329.295853,1040093.956
DOM,2001,11246.81007,4196847.236
DZA,2001,3468.760252,984310.2651
ECU,2001,45002.46871,24958116.42
EGY,2001,147.7649427,43240.09673
ERI,2001,2.529524333,990.5161564
ESP,2001,32811.05352,9584467.687
EST,2001,16872.43451,3717256.179
ETH,2001,11947.24724,5294162.365
FIN,2001,151003.2605,28065458.74
FJI,2001,1097.764054,571130.0202
FRA,2001,34420.96339,12682714.94
GAB,2001,15082.63773,8533768.964
GBR,2001,23244.12725,8315638.16
GEO,2001,666.5563666,242409.7319
GGY,2001,0.957678036,234.7266059
GHA,2001,43644.05617,17133133.45
GIB,2001,0.187285637,45.20122926
GIN,2001,18571.52586,6573835.164
GLP,2001,320.7023856,117383.0621
GMB,2001,3.297421863,3283.884995
GNB,2001,2362.153028,731587.9828
GNQ,2001,3585.419101,2153860.202
GRC,2001,12616.82202,2371508.674
GRD,2001,32.81085887,17828.33027
GTM,2001,53310.17515,21310473.68
GUF,2001,3033.287749,2230736.676
GUY,2001,10039.86771,6296925.511
HKG,2001,7.981291214,3360.76313
HND,2001,42380.17446,17711925.61
HRV,2001,3378.489604,1115646.367
HTI,2001,2469.048298,863442.2247
HUN,2001,7522.059332,2600479.599
IDN,2001,744087.9891,491946199.3
IMN,2001,15.97543762,4023.936392
IND,2001,62361.1745,30944777.89
IRL,2001,9559.474141,4004797.484
IRN,2001,332.4837054,78443.17551
IRQ,2001,16.02663642,4368.870567
ISR,2001,145.9652381,31169.64408
ITA,2001,9871.496932,2599310.84
JAM,2001,1246.241523,600550.2297
JEY,2001,3.696338871,1334.481392
JOR,2001,0.522028031,128.8148731
JPN,2001,23977.46162,8856275.538
KAZ,2001,4534.702741,1046980.062
KEN,2001,19027.21105,9013055.654
KGZ,2001,589.226356,141582.0578
KHM,2001,28491.44387,14688438.44
KNA,2001,45.60965868,17838.69889
KOR,2001,5503.445335,1350091.766
LAO,2001,36474.65075,19209984.18
LBN,2001,299.4042676,73952.99717
LBR,2001,29185.67018,13216376.13
LBY,2001,17.15270152,2808.770096
LCA,2001,31.08046321,14640.72119
LIE,2001,3.423943212,1685.743631
LKA,2001,3759.510363,1419394.275
LSO,2001,1.140052131,377.0553932
LTU,2001,7961.687395,2072824.51
LUX,2001,68.60969197,31108.62317
LVA,2001,24907.62112,6198589.313
MAC,2001,1.428070339,0
MAF,2001,2.123655985,712.7470237
MAR,2001,1868.288606,513800.9123
MDA,2001,146.6880607,36277.85887
MDG,2001,86956.8327,42012329.65
MDV,2001,4.743487262,364.7016365
MEX,2001,158302.9885,49664168.15
MKD,2001,2059.864143,609731.593
MLI,2001,347.8706881,164704.9263
MLT,2001,1.251912538,300.0081159
MMR,2001,44804.23913,23405742.85
MNE,2001,858.4920805,319674.8381
MNG,2001,21056.72264,4642117.318
MOZ,2001,60936.64968,19856130.7
MRT,2001,31.83843537,8044.754278
MSR,2001,7.078555306,2800.556464
MTQ,2001,192.9652483,89801.95224
MUS,2001,156.5813835,80392.62703
MWI,2001,2488.28077,949117.394
MYS,2001,332497.4245,133227204.7
MYT,2001,31.30269367,15807.52811
NAM,2001,417.5124607,92663.04824
NCL,2001,697.9210994,277117.4255
NER,2001,0.150195665,25.5985313
NGA,2001,43386.49462,14347214.6
NIC,2001,44109.79205,19983804.78
NLD,2001,736.4216234,257862.6284
NOR,2001,22445.9414,4478430.582
NPL,2001,1523.194752,860542.1064
NZL,2001,50528.28239,20712142.33
PAK,2001,217.7703951,75446.79243
PAN,2001,18264.10741,9322180.366
PER,2001,86013.86649,52631586.67
PHL,2001,35165.1917,20076129.62
PLW,2001,52.11206112,37362.24523
PNG,2001,36005.1351,25520506.15
POL,2001,19066.10208,5477365.517
PRI,2001,1252.362231,529585.8533
PRK,2001,11945.60949,2685939.005
PRT,2001,24405.37982,6196094.149
PRY,2001,150238.7329,36579163.49
PSE,2001,2.219302278,495.7426044
REU,2001,28.61721413,14655.79222
ROU,2001,17535.52879,6763046.489
RUS,2001,1826602.995,287342102.2
RWA,2001,1516.766321,606513.6071
SDN,2001,26.94295316,8130.812198
SEN,2001,70.59427485,38635.99683
SGP,2001,43.45389467,12940.54432
SLB,2001,2187.117444,1619415.95
SLE,2001,18596.4253,7021057.31
SLV,2001,9499.391624,3440915.9
SOM,2001,339.3039459,80066.68465
SRB,2001,2379.5834,937322.7378
SSD,2001,4906.033993,1300364.571
STP,2001,77.22190502,46576.80546
SUR,2001,3688.947052,2662039.237
SVK,2001,3897.393159,1547477.235
SVN,2001,615.4603105,255660.0506
SWE,2001,144927.2266,27583096.36
SWZ,2001,6734.853711,3776312.711
SXM,2001,1.318283677,1027.224432
SYC,2001,0.379574768,120.3808408
SYR,2001,267.2352947,63076.93191
TCA,2001,7.72720305,1292.689623
TCD,2001,883.6264799,367295.5177
TGO,2001,2776.230616,746693.4232
THA,2001,36101.94359,18579172.74
TJK,2001,61.53772785,15559.66861
TKM,2001,46.21279329,11209.91927
TLS,2001,677.4261599,402248.8733
TTO,2001,1829.096035,873455.1542
TUN,2001,230.6704347,67499.10616
TUR,2001,22910.00549,5324303.317
TWN,2001,1159.068116,591555.7562
TZA,2001,82214.20404,29469086.42
UGA,2001,29658.94722,11530563.52
UKR,2001,28826.3802,8940852.512
UMI,2001,2.11971068,0
URY,2001,7647.452723,1735711.766
USA,2001,1943318.744,623602919.2
UZB,2001,294.820902,66678.36228
VCT,2001,6.896545779,3426.755866
VEN,2001,123881.1441,49241813.2
VGB,2001,4.092501168,1594.096365
VIR,2001,122.5133707,44447.65845
VNM,2001,47433.13018,23968641.65
VUT,2001,124.3332979,69675.42782
XAD,2001,1.648989262,382.7123224
XCA,2001,9.735251157,352.2385459
XKO,2001,1122.205429,456542.3663
XNC,2001,17.66158322,4851.988224
ZAF,2001,77644.6906,37827341.24
ZMB,2001,30123.7271,12181089.84
ZWE,2001,8205.934185,3106346.797
ABW,2002,0.526107732,27.98871114
AFG,2002,178.6403638,39291.24246
AGO,2002,61034.22727,20261193.77
AIA,2002,0.146329651,29.61057526
ALA,2002,277.8198771,56102.64886
ALB,2002,889.5171155,338115.0974
AND,2002,1.255022224,517.1310595
ARG,2002,105001.8622,25004535.29
ARM,2002,172.5385912,52073.26556
ATG,2002,17.65604165,5254.013526
AUS,2002,312150.1627,36810890.65
AUT,2002,10902.14988,4488298.06
AZE,2002,1154.205943,293401.2382
BDI,2002,986.9362126,311701.4839
BEL,2002,2348.390596,1093379.445
BEN,2002,3480.187346,1002606.281
BES,2002,2.106457457,550.4825782
BFA,2002,4.3029109,147257.8542
BGD,2002,3995.287574,1944416.613
BGR,2002,4638.738812,1282420.151
