Country,Region,Area (sq. mi.)
Afghanistan ,ASIA (EX. NEAR EAST)         ,647500
Albania ,EASTERN EUROPE                     ,28748
Algeria ,NORTHERN AFRICA                    ,2381740
American Samoa ,OCEANIA                            ,199
Andorra ,WESTERN EUROPE                     ,468
Angola ,SUB-SAHARAN AFRICA                 ,1246700
Anguilla ,LATIN AMER. & CARIB    ,102
Antigua & Barbuda ,LATIN AMER. & CARIB    ,443
Argentina ,LATIN AMER. & CARIB    ,2766890
Armenia ,C.W. OF IND. STATES ,29800
Aruba ,LATIN AMER. & CARIB    ,193
Australia ,OCEANIA                            ,7686850
Austria ,WESTERN EUROPE                     ,83870
Azerbaijan ,C.W. OF IND. STATES ,86600
"Bahamas, The ",LATIN AMER. & CARIB    ,13940
Bahrain ,NEAR EAST                          ,665
Bangladesh ,ASIA (EX. NEAR EAST)         ,144000
Barbados ,LATIN AMER. & CARIB    ,431
Belarus ,C.W. OF IND. STATES ,207600
Belgium ,WESTERN EUROPE                     ,30528
Belize ,LATIN AMER. & CARIB    ,22966
Benin ,SUB-SAHARAN AFRICA                 ,112620
Bermuda ,NORTHERN AMERICA                   ,53
Bhutan ,ASIA (EX. NEAR EAST)         ,47000
Bolivia ,LATIN AMER. & CARIB    ,1098580
Bosnia & Herzegovina ,EASTERN EUROPE                     ,51129
Botswana ,SUB-SAHARAN AFRICA                 ,600370
Brazil ,LATIN AMER. & CARIB    ,8511965
British Virgin Is. ,LATIN AMER. & CARIB    ,153
Brunei ,ASIA (EX. NEAR EAST)         ,5770
Bulgaria ,EASTERN EUROPE                     ,110910
Burkina Faso ,SUB-SAHARAN AFRICA                 ,274200
Burma ,ASIA (EX. NEAR EAST)         ,678500
Burundi ,SUB-SAHARAN AFRICA                 ,27830
Cambodia ,ASIA (EX. NEAR EAST)         ,181040
Cameroon ,SUB-SAHARAN AFRICA                 ,475440
Canada ,NORTHERN AMERICA                   ,9984670
Cape Verde ,SUB-SAHARAN AFRICA                 ,4033
Cayman Islands ,LATIN AMER. & CARIB    ,262
Central African Rep. ,SUB-SAHARAN AFRICA                 ,622984
Chad ,SUB-SAHARAN AFRICA                 ,1284000
